report_date,open_interest,mm_long,mm_short,mm_net,mm_net_pct_oi,pm_net,fetched_at
2025-01-07,477043,191873,14232,177641,0.3724,-70967,seed-2026-09-18
2025-01-14,526467,206968,11346,195622,0.3716,-73987,seed-2026-09-18
2025-01-21,571387,226964,11095,215869,0.3778,-80606,seed-2026-09-18
2025-01-28,577505,227871,17331,210540,0.3646,-80898,seed-2026-09-18
2025-02-04,542004,240485,30952,209533,0.3866,-63444,seed-2026-09-18
2025-02-11,528719,229071,34268,194803,0.3684,-60901,seed-2026-09-18
2025-02-18,522330,222538,37209,185329,0.3548,-60419,seed-2026-09-18
2025-02-25,512179,212694,32882,179812,0.3511,-60490,seed-2026-09-18
2025-03-04,489270,204965,38307,166658,0.3406,-58579,seed-2026-09-18
2025-03-11,511276,204907,37331,167576,0.3278,-57259,seed-2026-09-18
2025-03-18,533566,220879,37045,183834,0.3445,-64380,seed-2026-09-18
2025-03-25,511482,213505,38773,174732,0.3416,-62757,seed-2026-09-18
2025-04-01,498746,204833,62834,141999,0.2847,-62315,seed-2026-09-18
2025-04-08,445468,175393,44407,130986,0.294,-52647,seed-2026-09-18
2025-04-15,456628,168400,43546,124854,0.2734,-51605,seed-2026-09-18
2025-04-22,465351,166360,45458,120902,0.2598,-45310,seed-2026-09-18
2025-04-29,451868,150715,44820,105895,0.2343,-45074,seed-2026-09-18
2025-05-06,452414,144383,42292,102091,0.2257,-45285,seed-2026-09-18
2025-05-13,440842,144410,43183,101227,0.2296,-41533,seed-2026-09-18
2025-05-20,448000,149149,41520,107629,0.2402,-38817,seed-2026-09-18
2025-05-27,437538,147502,36686,110816,0.2533,-46192,seed-2026-09-18
2025-06-03,415941,159966,36384,123582,0.2971,-48108,seed-2026-09-18
2025-06-10,417143,160680,36589,124091,0.2975,-49365,seed-2026-09-18
2025-06-17,441214,167646,37135,130511,0.2958,-52962,seed-2026-09-18
2025-06-24,434958,163829,38701,125128,0.2877,-50415,seed-2026-09-18
2025-07-01,437662,165086,34726,130360,0.2979,-49413,seed-2026-09-18
2025-07-08,443144,164685,35743,128942,0.291,-46812,seed-2026-09-18
2025-07-15,448531,172657,35930,136727,0.3048,-46736,seed-2026-09-18
2025-07-22,489423,194753,34819,159934,0.3268,-51362,seed-2026-09-18
2025-07-29,445259,170918,36662,134256,0.3015,-48170,seed-2026-09-18
2025-08-05,449647,186304,32317,153987,0.3425,-34017,seed-2026-09-18
2025-08-12,446152,182337,34050,148287,0.3324,-39750,seed-2026-09-18
2025-08-19,438541,173388,36003,137385,0.3133,-40005,seed-2026-09-18
2025-08-26,443760,175494,33577,141917,0.3198,-42328,seed-2026-09-18
2025-09-02,492908,196127,34625,161502,0.3277,-55302,seed-2026-09-18
2025-09-09,509625,198907,35388,163519,0.3209,-62554,seed-2026-09-18
2025-09-16,516221,195347,36376,158971,0.308,-65384,seed-2026-09-18
2025-09-23,528789,198826,38277,160549,0.3036,-67152,seed-2026-09-18
2025-09-30,493748,184199,38972,145227,0.2941,-65397,seed-2026-09-18
2025-10-07,485559,170587,40828,129759,0.2672,-65352,seed-2026-09-18
2025-10-14,485788,152187,43877,108310,0.223,-61457,seed-2026-09-18
2025-10-21,472421,135503,43276,92227,0.1952,-57778,seed-2026-09-18
2025-10-28,457122,138605,34446,104159,0.2279,-58194,seed-2026-09-18
